,Crime_ID,Month,Reported_by,Falls_within,Longitude,Latitude,Location,LSOA_code,LSOA_name,Crime_type,Last_outcome_category,Context,geometry
1503,e57c9ee4988fc617264ed6358dcf8c70be2dd0faf2f1670a4931f8bc05dca75a,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.095011,51.536471999999996,On or near John Burns Drive,E01000040,Barking and Dagenham 019A,Burglary,Under investigation,,POINT (10576.57613976107 6716743.701147528)
1516,9395af632c2fa8119fdad11c9bb778a6ca18fd39c726004d4293e1b4548e01ab,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.097313,51.533526,On or near Pelham Avenue,E01000043,Barking and Dagenham 019B,Burglary,Under investigation,,POINT (10832.8336075664 6716216.4857222)
1527,f75e3621114f965b45b5be4463e14eeb0f2e272dc6c0c1db706eb9a8d1b1e214,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.084512,51.532019,On or near St Marys,E01000050,Barking and Dagenham 019C,Burglary,Awaiting court outcome,,POINT (9407.832805921018 6715946.806569179)
1536,020e343def25768e6ea2f41ed2a7d725f6f7e08e016a6e12e22e9355e1c36c33,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.09145199999999999,51.533055,On or near Gordon Road,E01000052,Barking and Dagenham 019D,Burglary,Under investigation,,POINT (10180.39007202764 6716132.198843331)
1554,32b63537f03d3cc95bc371a47e573a8e91ec7203f0fcadf9fef5b2eabbf9c630,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.108243,51.524481,On or near Gallions Close,E01000092,Barking and Dagenham 019E,Burglary,Under investigation,,POINT (12049.55564193545 6714598.007943927)
1555,0b52d4c0ffd10652eb865801a5bfa65cbfcc0fb55f730843b3cc31c7bc3ad788,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.095377,51.527158,On or near Hockley Mews,E01000092,Barking and Dagenham 019E,Burglary,Awaiting court outcome,,POINT (10617.31907339105 6715076.986608041)
1556,c3c370f8765d9884ab2c6f0c4529931147e2a3420360d8a86763456f8d57a24d,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.109125,51.52237,On or near Grebe Close,E01000092,Barking and Dagenham 019E,Burglary,Under investigation,,POINT (12147.73943281529 6714220.319934462)
1606,dc228ff6ffc361761ec40329ede5a2bdcd44bf333b1723474809192c9f9752c3,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.146735,51.534017,On or near D'Arcy Gardens,E01000053,Barking and Dagenham 020A,Burglary,Under investigation,,POINT (16334.46548155174 6716304.3525902)
1607,45af317200b3acf6f1b6bcb6183544a7336b2f2615c85a5effe1b3152e7964a3,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.145852,51.531785,On or near Sports/Recreation Area,E01000053,Barking and Dagenham 020A,Burglary,Under investigation,,POINT (16236.17037118066 6715904.932836542)
1608,9f0212ffe3bb00874c3a2305411cc4230510f1d1202c80ff99c66eb3f1cefb79,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.146871,51.532908,On or near Nutbrowne Road,E01000053,Barking and Dagenham 020A,Burglary,Under investigation,,POINT (16349.6049323 6716105.892925947)
1609,7acd6986c1f8fa17ff0c6d672dac864902e9c9e95c92e86284b5e4048c73f47f,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.140928,51.533476,On or near Goresbrook Road,E01000053,Barking and Dagenham 020A,Burglary,Under investigation,,POINT (15688.03319851408 6716207.53802914)
1627,2495c73f93088ff4ffd323fa20e194568a3c67e6fe0c0f376ffca9f7215c479b,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.151619,51.531176,On or near South Close,E01000087,Barking and Dagenham 020B,Burglary,Under investigation,,POINT (16878.14987458598 6715795.954772159)
1628,a73975d466a92eca58f2adcd4e952b03c0ed2d38d801b9f18f2c9fa82d9afffd,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.153902,51.533418,On or near Orchard Road,E01000087,Barking and Dagenham 020B,Burglary,Under investigation,,POINT (17132.29227206637 6716197.158717503)
1671,2de24099b65a6eb4c853ff4230d587fb84aba3b5332eb40e5b77247de1f43fdc,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.160896,51.527345000000004,On or near East Entrance,E01000090,Barking and Dagenham 020E,Burglary,Under investigation,,POINT (17910.86079067411 6715110.446386598)
1692,dd55edbe44d96d98df44430c0b26bfdba7034b7749c37c45ab333825e6823b2f,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.087422,51.531338,On or near Keith Road,E01000049,Barking and Dagenham 021C,Burglary,Under investigation,,POINT (9731.77252413003 6715824.943868636)
1693,a7fd9d553be8d4692e460b32a38f6cdf315ad103d20a0b8661503efacc9e8f39,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.083164,51.529965999999995,On or near Dovehouse Mead,E01000049,Barking and Dagenham 021C,Burglary,Under investigation,,POINT (9257.774132333168 6715579.434536473)
1694,78f2e2395625d35192eef30a82ca04fa0cefa419e43e5fab069b8418ef9598f1,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.088371,51.53222,On or near Perth Road,E01000049,Barking and Dagenham 021C,Burglary,Under investigation,,POINT (9837.414720891351 6715982.775203684)
1729,b433f2a3c40881a744846df835a956eea32bcf3567296f8c89b1efe4ebdc82d7,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.080857,51.533747,On or near St Ann'S,E01000051,Barking and Dagenham 021D,Burglary,Under investigation,,POINT (9000.960067071665 6716256.034643256)
1743,9bc81ebacb14bc2cae293e493d6e909221c745138f58323e2492393566b9f132,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.078423,51.533188,On or near Hardwicke Street,E01033587,Barking and Dagenham 021E,Burglary,Under investigation,,POINT (8730.008426480164 6716155.999508452)
