,Crime_ID,Month,Reported_by,Falls_within,Longitude,Latitude,Location,LSOA_code,LSOA_name,Crime_type,Last_outcome_category,Context,geometry
9675,83abe02544482cb0c8ebae8f0f2067592d2109b497a0123f2d01566bead3ac38,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.24321399999999999,51.534948,On or near High Street Harlesden,E01033455,Brent 031G,Burglary,Under investigation,,POINT (-27074.45863379485 6716470.962227419)
9699,284a16371c4fbdc12bd779b5989e30099a45ac36fe118aab2ee97dbadc6e6d44,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.24468800000000002,51.535222,On or near Buckingham Mews,E01033485,Brent 031H,Burglary,Under investigation,,POINT (-27238.54356322429 6716519.997291711)
9700,5fe39de6508cf315b0c15e24239d7cfbf7ec9935f805bc162b42bf6f2e62900e,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.243977,51.533097999999995,On or near Tubbs Road,E01033485,Brent 031H,Burglary,Offender given community sentence,,POINT (-27159.39540527172 6716139.893787604)
9762,7e0d24b1a93f33c3e069db74205de010fced887fe116c8486b4babbd1d371000,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.20640999999999998,51.540982,On or near Kimberley Road,E01000580,Brent 032B,Burglary,Under investigation,,POINT (-22977.45609463849 6717550.875733973)
9764,ebed9fa3d827bafa8107505a34701b78dd365aa9f188906b17b40ee7c02fa90d,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.20824499999999999,51.537234000000005,On or near Windermere Avenue,E01000580,Brent 032B,Burglary,Under investigation,,POINT (-23181.72736024459 6716880.074032139)
9765,22a082e50a35387f2f69555a2d013839159fd8f39ba7c2501692ad172538a181,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.20839499999999997,51.534889,On or near Park/Open Space,E01000580,Brent 032B,Burglary,Under investigation,,POINT (-23198.42528386445 6716460.403620809)
9766,9fe14c95d564b70bb5a61a3b72e3a9071414a3eee115d75369dfb9d87e69144e,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.209612,51.540609,On or near Brondesbury Park,E01000580,Brent 032B,Burglary,Under investigation,,POINT (-23333.9011041602 6717484.115245047)
9789,aff0fc1917e30228115ea14eb3fedfe4e1b8e45c49053204c1660790ffe65e88,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.214275,51.535311,On or near Creighton Road,E01000582,Brent 032C,Burglary,Under investigation,,POINT (-23852.98388972816 6716535.924803114)
9801,0288f71cd02867e8b960cf60f80944955ba0e7a76930f26830dab863c73a5b84,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.200025,51.535795,On or near Woodville Road,E01000583,Brent 032D,Burglary,Under investigation,,POINT (-22266.68114592567 6716622.542376599)
9802,fef954d4e8fd2d9997a6b50ba1e70db9d5c0fcb872f71c47ce3e1228c6c3674e,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.202494,51.535338,On or near Brondesbury Road,E01000583,Brent 032D,Burglary,Under investigation,,POINT (-22541.52896869334 6716540.756750927)
9820,63fc7b0fedd0c95e15fb15e441e2992fde56722bf632d43ccb773586b09846c2,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.219396,51.533042,On or near Bolton Gardens,E01000586,Brent 032E,Burglary,Under investigation,,POINT (-24423.05100207992 6716129.872466261)
9821,f31775fd1814211be75bfec32bf5b4a0a5b985b1faa7aad4c1ea7a7fbd149ac3,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.216621,51.528782,On or near Regent Street,E01000586,Brent 032E,Burglary,Under investigation,,POINT (-24114.13941513077 6715367.572372188)
9822,38e60aee5a88c9befd88d3d689e4317776e643806b8b6fc0e6a4d197da1e2925,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.21964299999999998,51.534835,On or near Chamberlayne Road,E01000586,Brent 032E,Burglary,Under investigation,,POINT (-24450.54691630695 6716450.73982337)
9824,f4930eda5ef806965cccb20b6c40c4124ef2904001537f6f3868df66371ccb0e,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.21675300000000003,51.530952,On or near Chamberlayne Road,E01000586,Brent 032E,Burglary,Under investigation,,POINT (-24128.83358791411 6715755.871253135)
9864,7ec391677b3691c8f488a5d38c291252402c665dffacf5a781cae89cdb41b3a5,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.22655300000000003,51.535857,On or near Liddell Gardens,E01000530,Brent 033A,Burglary,Under investigation,,POINT (-25219.76459768789 6716633.638082732)
9871,28193762c71b16b3db8fbe8d9ff9dc6698edb7b16f5facc55ec8dcf7dd9a9eb6,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.22979899999999998,51.533595,On or near Bathurst Gardens,E01000531,Brent 033B,Burglary,Under investigation,,POINT (-25581.10766480405 6716228.833554762)
9872,895a25541524dd391eaafea676a6c81abcf98813eb0e9959fd05b1c9f2b8fda2,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.229571,51.534265999999995,On or near Buchanan Gardens,E01000531,Brent 033B,Burglary,Under investigation,,POINT (-25555.72682090196 6716348.912728632)
9873,fe8032b99a49b8e821fe64b90ff26322407386b45ac40d32f8f148e4598179a0,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.232213,51.531581,On or near Trenmar Gardens,E01000531,Brent 033B,Burglary,Under investigation,,POINT (-25849.83291557938 6715868.427706781)
9885,2f63c10b7324d8eaad239900cf9a2306ee8621b1b1010c1b1ec04edcc435eebe,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.225787,51.533696,On or near College Road,E01000532,Brent 033C,Burglary,Under investigation,,POINT (-25134.49386774014 6716246.907952125)
9905,a31544ec6be5ec2a94cfbd462faa8f890c8154e7e383c710706373c46b76169c,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.23659299999999997,51.535388,On or near Furness Road,E01000534,Brent 033D,Burglary,Under investigation,,POINT (-26337.4122852529 6716549.704810016)
9913,b60429c97fcf1541891751ab32e81d46853533cd6478f2bc1f8437f39ce873a8,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.22313000000000002,51.534896999999994,On or near Leigh Gardens,E01000584,Brent 033E,Burglary,Under investigation,,POINT (-24838.71798070272 6716461.835295481)
9919,ca4daf60c0eb5aa429f50b84ec3a1785573461a47162cb69d3abcc89cd32eb2a,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.221237,51.532414,On or near Langler Road,E01000585,Brent 033F,Burglary,Under investigation,,POINT (-24627.99018463058 6716017.491349791)
9920,63e483db3608c5cc2168e05e2bc65940449042e03148e2cdf75d8ca4cfd10164,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.22035700000000003,51.532804999999996,On or near Linden Avenue,E01000585,Brent 033F,Burglary,Under investigation,,POINT (-24530.02903273321 6716087.460939209)
9927,d42f47ff21b93c0d2c7fe04f07a3e4b0efb9718856589dc1976396fb03e0b7be,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.197703,51.52924,On or near Malvern Mews,E01000544,Brent 034A,Burglary,Under investigation,,POINT (-22008.19728830133 6715449.525157303)
9928,6c37315827828a9ddf9c83e20075016bf32ace2cd694ec42d507badcc201685c,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.195946,51.529185999999996,On or near Stuart Road,E01000544,Brent 034A,Burglary,Under investigation,,POINT (-21812.60894297745 6715439.86255898)
9944,c32cf2c9a3239720e22618875335dd23ab52ab5ee34ff5664dffd9a146877a94,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.19614600000000001,51.533613,On or near Princess Road,E01000550,Brent 034B,Burglary,Under investigation,,POINT (-21834.87284113633 6716232.054731557)
9945,524d1217516363ed5d114217bcc6a8805058a7f2af3d87bf4871bfc8d5d6dd77,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.192746,51.533534,On or near Rudolph Road,E01000550,Brent 034B,Burglary,Under investigation,,POINT (-21456.38657244104 6716217.917354003)
9946,2002884eccb03a6a37dee53b76c8e1c0b34e1fafb50cd357eae3e9057c23c925,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.194267,51.536992,On or near Mallard Close,E01000550,Brent 034B,Burglary,Under investigation,,POINT (-21625.70351793579 6716836.763761015)
9964,b1e0d58d3b65a60bf48d6c9df844d5fefe6429926de1eb460adfc873e0aeaa88,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.197287,51.534278,On or near Canterbury Road,E01000551,Brent 034C,Burglary,Under investigation,,POINT (-21961.88838013233 6716351.06021134)
9965,172d0dbdf7001b54fee7f3ef7266584e7275d4e611d784192591d970d3ffafbd,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.20143599999999998,51.534009000000005,On or near Albert Road,E01000551,Brent 034C,Burglary,Under investigation,,POINT (-22423.7529474329 6716302.920943206)
10000,41695b196f738a510689418365712b740043278dd02e825f3f4ee204aef3be5a,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.044122,51.436921000000005,On or near Mottingham Road,E01000779,Bromley 001A,Burglary,Under investigation,,POINT (4911.638572782093 6698946.948819032)
10026,038cbf30bfb97f098e7148700296df707f1838bc462b889c3785554a22d83e8c,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.045531,51.432382000000004,On or near Blanchard Close,E01000780,Bromley 001B,Burglary,Under investigation,,POINT (5068.487735309689 6698136.43609621)
10057,0437daa851fceff315c8724e6c1c56890e05296e17baa2e1af34055cdc718a0d,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.04635,51.426882,On or near Supermarket,E01000782,Bromley 001D,Burglary,Under investigation,,POINT (5159.658398267314 6697154.428996354)
10068,6e28e87b7dd82feda681a8354fcbc1ffa43b1fb1ccbbfad65b6e9c0480b10b9d,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.045439,51.429029,On or near Beaconsfield Road,E01000783,Bromley 001E,Burglary,Under investigation,,POINT (5058.246342155868 6697537.754793128)
10069,7fa0d8fef96ab92ab5281d594ad5a8f01b390c33b379e1eb54305b8e484d1ec3,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.05223,51.42552,On or near Elmstead Lane,E01000783,Bromley 001E,Burglary,Under investigation,,POINT (5814.217004133852 6696911.26658876)
10123,3cd52fb5c4ad28e15c571179aa247cf3a39fc330b9f866c13e3bbbd005491f27,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.06842100000000001,51.420613,On or near Edward Road,E01000692,Bromley 002D,Burglary,Under investigation,,POINT (7616.590879567862 6696035.263581837)
10142,417edc63a92ae01a871d6d2b0c4ee2bb5c8923b81c76105bb1581216f5ccc585,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.05136,51.412864,On or near Supermarket,E01000799,Bromley 004A,Burglary,Under investigation,,POINT (-5717.369047143149 6694652.095136793)
10173,1e210ec93bfa4c403666a036c67eeca6f993cf930b0768a8eaa2c2f05df5c802,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.055695,51.421865999999994,On or near Venner Road,E01000802,Bromley 004B,Burglary,Under investigation,,POINT (-6199.939039730994 6696258.941570072)
10189,53d94e062af76886b2b1291857140aab2ba541369ae866c795f1bfedfb75c642,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.051138,51.419785,On or near Maitland Road,E01000803,Bromley 004C,Burglary,Under investigation,,POINT (-5692.656120185631 6695887.45739032)
10195,a070c1b6f970fe794a0d898a78623182dbf1cc21c70b2d490b5feca744dc2e59,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.046391,51.417429999999996,On or near Courtenay Road,E01000804,Bromley 004D,Burglary,Under investigation,,POINT (-5164.22249739089 6695467.081229521)
10255,86199d076544a67baeea11780b54ceaff83d2e72efb54a2953a806f52b05b76b,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.07470399999999999,51.415849,On or near Waldegrave Road,E01000741,Bromley 005B,Burglary,Under investigation,,POINT (-8316.011240220196 6695184.879065512)
10265,e37efa21ff23f45e2f4db5ac4f676df93df840cfcb7bb3e3848e71aa0761a0a2,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.06391799999999999,51.416534000000006,On or near Ridgemount Close,E01000742,Bromley 005C,Burglary,Under investigation,,POINT (-7115.319212523613 6695307.147621998)
10288,21becff8293664ed4b051f0eef9a6717ea0b9da9152e1d92ac6e6e3f24993b80,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.059254999999999995,51.421358000000005,On or near Lawrie Park Road,E01000745,Bromley 005D,Burglary,Under investigation,,POINT (-6596.236426955658 6696168.255740756)
10289,5c227919e40c554c2dc5b1ecf7f47a3ad2734550bdd45d9f39ec4d32321d31a9,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.067175,51.42523,On or near Charleville Circus,E01000745,Bromley 005D,Burglary,Awaiting court outcome,,POINT (-7477.886794037673 6696859.49285634)
10302,2484c8013c6a5535990a8108b2b66d27419f5c5422216060fd89046ba19f8bac,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.078592,51.419841999999996,On or near Westow Hill,E01000746,Bromley 005E,Burglary,Under investigation,,POINT (-8748.821420424969 6695897.632368408)
10304,93b92c80e47178c6f9d93e22bcb0912a825c47ff67d1da4dc098e93dcde08a90,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.080868,51.416336,On or near Lansdowne Place,E01000746,Bromley 005E,Burglary,Under investigation,,POINT (-9002.184581469568 6695271.805573614)
10305,f7aa8842999bb30280b7faf284668c180c805b691b70ea96c4d128cfb6869867,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.078778,51.418487,On or near Patterson Road,E01000746,Bromley 005E,Burglary,Under investigation,,POINT (-8769.526845712246 6695655.756937772)
10306,9c1c11b9106057c7b528a255f474db192ac378c97b412d043bfdebb1fa50becc,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.080039,51.416197,On or near Tudor Road,E01000746,Bromley 005E,Burglary,Under investigation,,POINT (-8909.900723602441 6695246.994833127)
10319,b414876a7aae9ba274cbde734f8a417160b035b5e3dd190388027cf4b9691331,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.023881,51.417152,On or near Hanson Close,E01000710,Bromley 006B,Burglary,Awaiting court outcome,,POINT (-2658.420759634305 6695417.458636386)
10320,4c3143f1ecf6652aed4d27beab1f0bcdc987f10fd988635f70f0717f2290a107,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.033699,51.417938,On or near Grangewood Lane,E01000710,Bromley 006B,Burglary,Under investigation,,POINT (-3751.355520241796 6695557.759265656)
10321,98ec19c2144697bafe0a3550bf9ff0411d92ce4e5056e4253e8164071fd5a821,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.031398,51.417593,On or near Sports/Recreation Area,E01000710,Bromley 006B,Burglary,Under investigation,,POINT (-3495.209371927692 6695496.176631317)
10349,675d6a3da7576a79b8f6c360ca2c50fd6051502e4de84ff47f39951312f9b9bc,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.025177,51.410771000000004,On or near Nightclub,E01000714,Bromley 006D,Burglary,Under investigation,,POINT (-2802.690819703507 6694278.542428619)
10350,203c62d237b41fa25b12fc411efda534a017ea725dd41ff45e325c1ae16a00c3,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.025012,51.408259,On or near Police Station,E01000714,Bromley 006D,Burglary,Under investigation,,POINT (-2784.323103720802 6693830.230365282)
10388,19f7fe9f9f0a1d1b76247d78f94a40f2c82c988c56c9a5c067c7b8aaf9994a3c,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.026342,51.422796000000005,On or near Greycot Road,E01000718,Bromley 006E,Burglary,Under investigation,,POINT (-2932.378026477779 6696424.963515129)
10389,9a7b03491c65585dd3236bd8d0daca2ee3d07f782bddff15d31156db3ffe18ee,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.023804,51.421593,On or near Braeside,E01000718,Bromley 006E,Burglary,Under investigation,,POINT (-2649.84915884332 6696210.206737289)
10404,8b30b64612b61c2c3596a04e7e50fefbddb1eedb18348e5e5e86a9aa24b46537,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.045874,51.41493,On or near Elmstead Lane,E01000645,Bromley 007A,Burglary,Under investigation,,POINT (5106.670320649803 6695020.845734026)
10405,4a733bd3b36fb92548199f42cfe6ebf53271e147a4bd7300164cd53ca6065c1f,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.047014,51.405359000000004,On or near Spinney Oak,E01000645,Bromley 007A,Burglary,Under investigation,,POINT (5233.574540154569 6693312.703276721)
10415,49ad62704147b43720db47f4d6aefd8c63c9a6502c08f3412fdddcaa6c522cc3,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.054998000000000005,51.405786,On or near Vale Road,E01000649,Bromley 007B,Burglary,Under investigation,,POINT (6122.349354647198 6693388.902618574)
10423,91ba16946dcd4f194b8c1c1e6c8b71dab4519dc3ecb21f3d4951bff497ab0a76,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.050788,51.421265000000005,On or near Hallam Close,E01000694,Bromley 007C,Burglary,Under investigation,,POINT (5653.694298409716 6696151.653916593)
10427,eb9886dd2dad38495073ab0ced02149f8bfa67a75b44f3abdfc8b1b2babbf48a,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.055014,51.411263,On or near Lubbock Road,E01000695,Bromley 007D,Burglary,Under investigation,,POINT (6124.130466501269 6694366.351656762)
10429,73dcc9a3faa571cc893eec5db02dc6b3aed889f80185ffe091ef3c43af6259fa,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.07535599999999999,51.41558,On or near Roehampton Drive,E01000696,Bromley 007E,Burglary,Under investigation,,POINT (8388.591548218314 6695136.864615153)
10430,36ff0f09c9b09def72c0f89a97766f5877d217c2d132970620fc2049f23e2bee,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.069353,51.415444,On or near Courtlands,E01000696,Bromley 007E,Burglary,Under investigation,,POINT (7720.340644986713 6695112.589758941)
10431,990759f3e5dbeafad8334af904accdab40f39fc53fb257bc19ba8042d5b8c4c5,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.06765499999999999,51.41702,On or near Camden Grove,E01000696,Bromley 007E,Burglary,Under investigation,,POINT (7531.320149620117 6695393.896935245)
10441,e40c1ebba7bd3bc3e4b66e243829652a839fa4a602a0fb695829250def83846f,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.059105,51.408232,On or near Davema Close,E01000697,Bromley 007F,Burglary,Under investigation,,POINT (6579.53850333579 6693825.411858259)
10453,46accc545400a0001e0d22079be6506c28c5c8264c58810e3a1c4309ff4292b7,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.00796,51.408607,On or near Bracken Hill Lane,E01000674,Bromley 008A,Burglary,Under investigation,,POINT (886.1031467143572 6693892.335821567)
10454,a0e8f9a05ab471ac5095189de271042163cac27b3b3e1fa7ab428993738d08b9,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.008524,51.409659000000005,On or near Karen Court,E01000674,Bromley 008A,Burglary,Under investigation,,POINT (948.8873395207557 6694080.082776302)
10481,81415a7aa6c9c3ee1ba7084c8ebe7eaeffa6b77f9b7969d5fa7efa2d617bdb4e,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.015390000000000001,51.40589,On or near East Street,E01000676,Bromley 008B,Burglary,Under investigation,,POINT (1713.206963307258 6693407.461816614)
10482,6f80482db6cee29c80490ddf2b4a53ddb6b40854168d50170050cd9bf54ee47d,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.013623,51.406566999999995,On or near Walters Yard,E01000676,Bromley 008B,Burglary,Under investigation,,POINT (1516.505423076712 6693528.2760894)
10550,8d7b24a7836579cd90c8125a42282388eedbc06312ef081d113445211777ac09,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.019343,51.41467,On or near Dairy Close,E01000820,Bromley 008C,Burglary,Under investigation,,POINT (2153.25291041388 6694974.438643476)
10577,57f596630318dc371e6862e2c64da1adce45a17d9a0b29ea3baca320c793d39d,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.013838999999999999,51.411825,On or near Scotts Road,E01000824,Bromley 008F,Burglary,Under investigation,,POINT (1540.550433086829 6694466.655223935)
10633,cfa486bac6b42b50b965cefdba1c0c2190c7b9155390fd0b704b74b239c961b4,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.068471,51.406439,On or near Selby Road,E01000744,Bromley 009B,Burglary,Under investigation,,POINT (-7622.156854106875 6693505.433667324)
10634,8d62f6e7142a9acbb33fcd45ea325006456a403dcf93d5e3acf4d4643a4e4644,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.068147,51.405237,On or near Haysleigh Gardens,E01000744,Bromley 009B,Burglary,Under investigation,,POINT (-7586.089339088866 6693290.932166876)
10653,34580aed635724cb405f59a70518f69a156eae8d0187fb63afba2d6d252ec821,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.058832,51.413357,On or near Graveney Grove,E01000796,Bromley 009C,Burglary,Under investigation,,POINT (-6549.14828235086 6694740.086868096)
10670,5934317812387cb52f4ddc9a8e91e883567fd11106f8b7bbba059fb7fa273c61,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.05273200000000001,51.413740999999995,On or near Evelina Road,E01000798,Bromley 009D,Burglary,Under investigation,,POINT (-5870.099388512102 6694808.624695502)
10693,f746a252278a213989262aa1a5e50ecfe0a2761117840a6d2b2368ce4f2ed4c6,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.062388,51.411221000000005,On or near Sheldon Close,E01000800,Bromley 009E,Burglary,Under investigation,,POINT (-6945.000391610589 6694358.855710154)
10694,f8a5569a4b41867cc98644fdbe2048e9d1fc47be3e6aeeac1a3c217ba20c8065,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.063838,51.411272,On or near Chartwell Way,E01000800,Bromley 009E,Burglary,Under investigation,,POINT (-7106.41365326176 6694367.957931934)
10729,106f9f69d19744bbf1808f38752e54cc91dd8c39cd397a168a1a1bb399bc359b,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.08072,51.409856,On or near Stainmore Close,E01000693,Bromley 010A,Burglary,Under investigation,,POINT (8985.709296832167 6694115.241193839)
10739,2f8e2b65feb0b8e1763ec36ccca985f4594148f3634694334ec24931811598b8,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.089163,51.400452,On or near Kenley Close,E01000698,Bromley 010B,Burglary,Under investigation,,POINT (9925.579757599837 6692437.086495132)
10740,4259a0520e58cdf06a45633fdcc9e2305a847158807b1ce1c00065e5ba4d93b3,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.09799,51.399503,On or near Southfield Road,E01000698,Bromley 010B,Burglary,Under investigation,,POINT (10908.19690283403 6692267.755513068)
10751,c0a41cf54661b7efd0ca7d82a5239917c42ae7d419abef56704925cd997964bd,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.097094,51.402226,On or near Leesons Way,E01000737,Bromley 010D,Burglary,Under investigation,,POINT (10808.45463908259 6692753.632442814)
10771,bb0e2f104e51f3babfb724166f7aac5f56772a919a1e4ec585f3e7b9b58a1f88,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.0033759999999999997,51.409799,On or near Downs Hill,E01000673,Bromley 011B,Burglary,Under investigation,,POINT (-375.8146009170213 6694105.068438165)
10772,da0c33b32f7d3827740b8d77b76a229169ce96ac5a3375e78e3088ca7e0ff8ce,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.002575,51.407125,On or near Meadow Road,E01000673,Bromley 011B,Burglary,Under investigation,,POINT (286.6476887931007 6693627.855520078)
10773,0547edabac2ae223f6841c957d2ac94aa4a3bcdd7d5cda33d5f4c05009e1d23e,2019-04,Metropolitan Police Service,Metropolitan Police Service,0.004156,51.407098,On or near Shortlands Gardens,E01000673,Bromley 011B,Burglary,Under investigation,,POINT (462.6438037363698 6693623.037132547)
10782,74cfd928f78007e1650e569a2e9f90d097d22696d2ef03fc61bf21f9a2422cc2,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.014411000000000002,51.405355,On or near Perth Road,E01000716,Bromley 011C,Burglary,Under investigation,,POINT (-1604.225181823095 6693311.989468916)
10783,9e066de3cb14fd143f29c60cb720d60977a4f4660000a03020493bfd6ceb1774,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.010758,51.403728,On or near Howards Crest Close,E01000716,Bromley 011C,Burglary,Under investigation,,POINT (-1197.575081953377 6693021.653323306)
10784,e8c16f6c7c5836db16d446cf28589287f455679205b636280b43a168b7bcca5b,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.0075569999999999995,51.40657,On or near Petrol Station,E01000716,Bromley 011C,Burglary,Under investigation,,POINT (-841.2413919257294 6693528.811459435)
10788,449de470060491e3d9220122616687fb5c2ee03887c42834ef11e5bc8fe2d7ea,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.004389,51.406012,On or near Scotts Avenue,E01000717,Bromley 011D,Burglary,Under investigation,,POINT (-488.5812450917906 6693429.233237347)
10795,b9714b2331bcbc8ffb53e8ee36756a87276b05b25027aa8e8293407a4945f4d8,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.0177,51.410753,On or near Apex Close,E01000712,Bromley 012A,Burglary,Under investigation,,POINT (-1970.35498703963 6694275.3299138)
10796,29aab0549203f6ebc68fd72fafd2e8ec60fe727694327fb6c46109b525d93347,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.018951,51.415071999999995,On or near Beckenham Place Park,E01000712,Bromley 012A,Burglary,Under investigation,,POINT (-2109.615670023155 6695046.191256457)
10797,3b1eeca194e32321dc62193443bbddde64f5185f1d42e02e959ce4ff86edc46e,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.016469,51.410957,On or near The Avenue,E01000712,Bromley 012A,Burglary,Under investigation,,POINT (-1833.320693875109 6694311.738489147)
10798,81e03116dfb3979cb597be7d4e2749fb61c3e6bfe3c20d34d88a05fe7204d6f8,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.022768,51.414623999999996,On or near Maywood Close,E01000712,Bromley 012A,Burglary,Under investigation,,POINT (-2534.522166381512 6694966.228185704)
10809,42407f8fbfa9b1a622ce30a7faa4f66d4c0640a4c8979b541a9390266663759b,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.007373,51.408482,On or near Downs Bridge Road,E01000713,Bromley 012B,Burglary,Under investigation,,POINT (-820.7586056180871 6693870.027772816)
10810,48502abb3e5953a6b35bb86179a25d612b884d4f7b95bde70678f82a3669e7b9,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.007776999999999999,51.411106,On or near Downs Hill,E01000713,Bromley 012B,Burglary,Under investigation,,POINT (-865.7316798979482 6694338.33112968)
10811,be7defd1b755805eb7b1d1fe14a9bb32c9b69eae7dabb0bdb19dec7e53463ff2,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.008898,51.414093,On or near Crab Hill,E01000713,Bromley 012B,Burglary,Under investigation,,POINT (-990.5208290777762 6694871.451543028)
10825,32be6807b5b2c51a2706a1e9642e0c851e44adb2489a5480db6386f1091c1f6d,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.014949,51.410517,On or near Olyffe Drive,E01000715,Bromley 012C,Burglary,Under investigation,,POINT (-1664.115067868754 6694233.210392045)
10846,498bb52645e16c2ae16a58a2fcdc031d6787f62bc6ae73491034b5d64ef454ce,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.046379000000000004,51.406585,On or near Sultan Street,E01000700,Bromley 013A,Burglary,Under investigation,,POINT (-5162.886663501754 6693531.488310134)
10863,e51395b6f90765414d727c9f135033d5d4c8e857dfe5b9fda060ca4c2f798ece,2019-04,Metropolitan Police Service,Metropolitan Police Service,-0.042362000000000004,51.408056,On or near Sidney Road,E01000703,Bromley 013C,Burglary,Under investigation,,POINT (-4715.716268984517 6693794.00240073)
